"","Indnum","Group","Activity","Units","Consumption","Quality_of_Life_Importance__1_10","solar_powered_water_heater","gas_water_heater","electric_water_heater_peak_hour","electric_water_heater_off_peak","gas","natural_gas","hybrid","electric_peak_hours","electric_off_peak_hours","jetfuel","TCF","TrQL"
"54",2,6,"large items disposed","items",0,14,0,0,0,0,0,0,0,0,0,0,0,0
"55",3,1,"Household heating => 70F","hours",3,64,0,0,0,0,0,0.000436,0,0,0,0,0.000436,192
"56",3,1,"Household heating < 70F","hours",1,75,0,0,0,0,0,0.000872,0,0,0,0,0.000872,75
"57",3,1,"Use of heat pump","hours",0,42,0,0,0,0,0,0,0,0,0,0,0,0
"58",3,1,"Use of air conditioner","hours",16,52,0,0,0,0,0,0,0,0,0,0,0,832
"59",3,2,"shower - short","count",7,95,0,0,0,0,0,0,0,0,0,0,0,665
"60",3,2,"shower - long (> 3 min)","count",40,85,1.7e-05,0,0,0,0,0,0,0,0,0,1.7e-05,3400
"61",3,2,"bath","count",0,19,0,0,0,0,0,0,0,0,0,0,0,0
"62",3,2,"wash-up","count",45,27,4e-06,4.2e-05,0,0,0,0,0,0,0,0,4.6e-05,1215
"63",3,3,"use of dishwasher","count",0,25,0,0,0,0,0,0,0,0,0,0,0,0
"64",3,3,"use of clothes washer","count",5,44,0,0,0,0,0,0,0,0,0,0,0,220
"65",3,3,"use of clothes dryer","count",3,12,0,0,0,0,0,0,0,0,0,0,0,36
"66",3,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",3,3,"use of  oven","count",10,37,0,0,0,0,0,0,0,0,0,0,0,370
"68",3,3,"use of self-clean feature of electric oven","count",4,19,0,0,0,0,0,0,0,0,0,0,0,76
"69",3,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",3,4,"TV/computer use","count",64,27,0,0,0,0,0,0,0,0,0,0,0,1728
"71",3,5,"air travel - large plane","miles",2653,42,0,0,0,0,0,0,0,0,0,0,0,111426
"72",3,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0.000408,0.000408,0
"73",3,5,"car trips- self only","miles",260,60,0,0,0,0,0.000551,0,0,0,0,0,0.000551,15600
"74",3,5,"car trips - driver and self","miles",35,19,0,0,0,0,0.000554,0,0,0,0,0,0.000554,665
"75",3,5,"car trips - 2+ people with multiple end points","miles",23,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"76",3,5,"trips using public ground transportation","bags",13,44,0,0,0,0,0,0,0,0,0,0,0,572
"77",3,6,"bags of garbage disposed","bags",22,49,0,0,0,0,0,0,0,0,0,0,0,1078
"78",3,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",3,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",3,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",3,6,"large items disposed","items",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"82",4,1,"Household heating => 70F","count",10,93,0,0,0,0,0,0.000436,0,0,0,0,0.000436,930
"83",4,1,"Household heating < 70F","count",4,73,0,0,0,0,0,0.000872,0,0,0,0,0.000872,292
"84",4,1,"Use of heat pump","count",0,48,0,0,0,0,0,0,0,0,0,0,0,0
"85",4,1,"Use of air conditioner","count",18,47,0,0,0,0,0,0,0,0,0,0,0,846
"86",4,2,"shower - short","count",5,90,0,0,0,0,0,0,0,0,0,0,0,450
"87",4,2,"shower - long (> 3 min)","count",12,84,0,0,0,0,0,0,0,0,0,0,0,1008
"88",4,2,"bath","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"89",4,2,"wash-up","count",35,36,0,4.2e-05,0,0,0,0,0,0,0,0,4.2e-05,1260
"90",4,3,"use of dishwasher","count",0,25,0,0,0,0,0,0,0,0,0,0,0,0
"91",4,3,"use of clothes washer","count",6,41,0,0,0,0,0,0,0,0,0,0,0,246
"92",4,3,"use of clothes dryer","count",2,14,0,0,0,0,0,0,0,0,0.000122,0,0.000122,28
"93",4,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000135,0
"94",4,3,"use of  oven","count",11,33,0,0,0,0,0,0,0,0,0.00015,0,0.00015,363
"95",4,3,"use of self-clean feature of electric oven","count",3,18,0,0,0,0,0,0,0,0,0,0,0,54
"96",4,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",4,4,"TV/computer use","count",59,25,0,0,0,0,0,0,0,0,0,0,0,1475
"98",4,5,"air travel - large plane","miles",3419,44,0,0,0,0,0,0,0,0,0,0,0,150436
"99",4,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",4,5,"car trips- self only","miles",336,58,0,0,0,0,0.000551,0,0,0,0,0,0.000551,19488
"101",4,5,"car trips - driver and self","miles",28,28,0,0,0,0,0.000554,0,0,0,0,0,0.000554,784
"102",4,5,"car trips - 2+ people with multiple end points","miles",0,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"103",4,5,"trips using public ground transportation","bags",12,42,0,0,0,0,0,0,0,0,0,0,0,504
"104",4,6,"bags of garbage disposed","bags",27,41,0,0,0,0,0,0,0,0,0,0,0,1107
"105",4,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",4,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",4,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",4,6,"large items disposed","items",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"109",5,1,"Household heating => 70F","hours",8,80,0,0,0,0,0,0.000436,0,0,0,0,0.000436,640
"110",5,1,"Household heating < 70F","hours",10,77,0,0,0,0,0,0.000872,0,0,0,0,0.000872,770
"111",5,1,"Use of heat pump","hours",0,43,0,0,0,0,0,0,0,0,0,0,0,0
"112",5,1,"Use of air conditioner","hours",14,53,0,0,0,0,0,0,0,0,0,0,0,742
"113",5,2,"shower - short","count",7,84,0,0,0,0,0,0,0,0,0,0,0,588
"114",5,2,"shower - long (> 3 min)","count",10,72,0,0,0,0,0,0,0,0,0,0,0,720
"115",5,2,"bath","count",0,10,0,0,0,0,0,0,0,0,0,0,0,0
"116",5,2,"wash-up","count",45,28,0,0,0,0,0,0,0,0,0,0,0,1260
"117",5,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"118",5,3,"use of clothes washer","count",7,41,3.3e-05,0,0,0,0,0,0,0.000102,0,0,0.000135,287
"119",5,3,"use of clothes dryer","count",1,21,0,0,0,0,0,0,0,0,0,0,0,21
"120",5,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",5,3,"use of  oven","count",12,32,0,0,0,0,0,0,0,0,0,0,0,384
"122",5,3,"use of self-clean feature of electric oven","count",2,16,0,0,0,0,0,0,0,0,0,0,0,32
"123",5,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",5,4,"TV/computer use","count",64,29,0,0,0,0,0,0,0,0,0,0,0,1856
"125",5,5,"air travel - large plane","miles",3113,46,0,0,0,0,0,0,0,0,0,0.000179,0.000179,143198
"126",5,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0.000408,0.000408,0
"127",5,5,"car trips- self only","miles",388,50,0,0,0,0,0.000551,0,0,0,0,0,0.000551,19400
"128",5,5,"car trips - driver and self","miles",15,27,0,0,0,0,0.000554,0,0,0,0,0,0.000554,405
"129",5,5,"car trips - 2+ people with multiple end points","miles",15,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"130",5,5,"trips using public ground transportation","bags",19,45,0,0,0,0,0,0,0,0,0,0,0,855
"131",5,6,"bags of garbage disposed","bags",17,48,0,0,0,0,0,0,0,0,0,0,0,816
"132",5,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",5,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",5,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",5,6,"large items disposed","items",2,12,0,0,0,0,0,0,0,0,0,0,0,24
"136",6,1,"Household heating => 70F","count",6,63,0,0,0,0,0,0.000436,0,0,0,0,0.000436,378
"137",6,1,"Household heating < 70F","count",3,75,0,0,0,0,0,0.000872,0,0,0,0,0.000872,225
"138",6,1,"Use of heat pump","count",0,52,0,0,0,0,0,0,0,0,0,0,0,0
"139",6,1,"Use of air conditioner","count",14,44,0,0,0,0,0,0,0,0,0,0,0,616
"140",6,2,"shower - short","count",8,97,0,0,0,0,0,0,0,0,0,0,0,776
"141",6,2,"shower - long (> 3 min)","count",26,80,0,0,0,0,0,0,0,0,0,0,0,2080
"142",6,2,"bath","count",0,18,0,0,0,0,0,0,0,0,0,0,0,0
"143",6,2,"wash-up","count",32,35,0,0,0,0,0,0,0,0,0,0,0,1120
"144",6,3,"use of dishwasher","count",10,22,0,0,0,0,0,0,0,0,0,0,0,220
"145",6,3,"use of clothes washer","count",4,31,0,0,0,0,0,0,0,0,0,0,0,124
"146",6,3,"use of clothes dryer","count",2,20,0,0,0,0,0,0,0,0.000132,0.000122,0,0.000254,40
"147",6,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000135,0
"148",6,3,"use of  oven","count",11,33,0,0,0,0,0,0,0,0,0.00015,0,0.00015,363
"149",6,3,"use of self-clean feature of electric oven","count",3,12,0,0,0,0,0,0,0,0,0,0,0,36
"150",6,3,"Small kitchen appliance in the home","count",59,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",6,4,"TV/computer use","count",59,30,0,0,0,0,0,0,0,0,0,0,0,1770
"152",6,5,"air travel - large plane","miles",2021,47,0,0,0,0,0,0,0,0,0,0,0,94987
"153",6,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",6,5,"car trips- self only","miles",267,45,0,0,0,0,0.000551,0,0,0,0,0,0.000551,12015
"155",6,5,"car trips - driver and self","miles",21,34,0,0,0,0,0.000554,0,0,0,0,0,0.000554,714
"156",6,5,"car trips - 2+ people with multiple end points","miles",0,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"157",6,5,"trips using public ground transportation","bags",14,51,0,0,0,0,0,0,0,0,0,0,0,714
"158",6,6,"bags of garbage disposed","bags",22,47,0,0,0,0,0,0,0,0,0,0,0,1034
"159",6,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",6,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",6,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",6,6,"large items disposed","items",1,17,0,0,0,0,0,0,0,0,0,0,0,17
"163",7,1,"Household heating => 70F","hours",5,85,0,0,0,0,0,0.000436,0,0,0,0,0.000436,425
"164",7,1,"Household heating < 70F","hours",1,72,0,0,0,0,0,0.000872,0,0,0,0,0.000872,72
"165",7,1,"Use of heat pump","hours",0,44,0,0,0,0,0,0,0,0,0,0,0,0
"166",7,1,"Use of air conditioner","hours",20,46,0,0,0,0,0,0,0,0,0,0,0,920
"167",7,2,"shower - short","count",3,86,0,0,0,0,0,0,0,0,0,0,0,258
"168",7,2,"shower - long (> 3 min)","count",23,80,0,0,0,0,0,0,0,0,0,0,0,1840
"169",7,2,"bath","count",0,21,0,0,0,0,0,0,0,0,0,0,0,0
"170",7,2,"wash-up","count",37,44,4e-06,4.2e-05,0,0,0,0,0,0,0,0,4.6e-05,1628
"171",7,3,"use of dishwasher","count",0,24,0,0,0,0.000311,0,0,0,0,0,0,0.000311,0
"172",7,3,"use of clothes washer","count",5,38,0,0.000199,0,0,0,0,0,0,0,0,0.000199,190
"173",7,3,"use of clothes dryer","count",4,17,0,0,0,0,0,0,0,0,0,0,0,68
"174",7,3,"use of cooking range","count",16,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",7,3,"use of  oven","count",9,38,0,0,0,0,0,0,0,0,0,0,0,342
"176",7,3,"use of self-clean feature of electric oven","count",1,17,0,0,0,0,0,0,0,0,0,0,0,17
"177",7,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",7,4,"TV/computer use","count",63,29,0,0,0,0,0,0,0,0,0,0,0,1827
"179",7,5,"air travel - large plane","miles",3016,45,0,0,0,0,0,0,0,0,0,0,0,135720
"180",7,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0.000408,0.000408,0
"181",7,5,"car trips- self only","miles",288,57,0,0,0,0,0.000551,0,0,0,0,0,0.000551,16416
"182",7,5,"car trips - driver and self","miles",39,22,0,0,0,0,0.000554,0,0,0,0,0,0.000554,858
"183",7,5,"car trips - 2+ people with multiple end points","miles",11,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"184",7,5,"trips using public ground transportation","bags",12,48,0,0,0,0,0,0,0,0,0,0,0,576
"185",7,6,"bags of garbage disposed","bags",18,41,0,0,0,0,0,0,0,0,0,0,0,738
"186",7,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",7,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",7,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",7,6,"large items disposed","items",0,19,0,0,0,0,0,0,0,0,0,0,0,0
"190",8,1,"Household heating => 70F","count",4,79,0,0,0,0,0,0.000436,0,0,0,0,0.000436,316
"191",8,1,"Household heating < 70F","count",6,71,0,0,0,0,0,0.000872,0,0,0,0,0.000872,426
"192",8,1,"Use of heat pump","count",0,40,0,0,0,0,0,0,0,0,0,0,0,0
"193",8,1,"Use of air conditioner","count",15,52,0,0,0,0,0,0,0,0,0,0,0,780
"194",8,2,"shower - short","count",5,87,0,0,0,0,0,0,0,0,0,0,0,435
"195",8,2,"shower - long (> 3 min)","count",15,82,0,0,0,0,0,0,0,0,0,0,0,1230
"196",8,2,"bath","count",0,10,0,0,0,0,0,0,0,0,0,0,0,0
"197",8,2,"wash-up","count",49,32,0,0,0,0,0,0,0,0,0,0,0,1568
"198",8,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"199",8,3,"use of clothes washer","count",5,29,0,0,0,0,0,0,0,0,0,0,0,145
"200",8,3,"use of clothes dryer","count",4,12,0,0,0,0,0,0,0,0,0.000122,0,0.000122,48
"201",8,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000135,0
"202",8,3,"use of  oven","count",10,36,0,0,0,0,0,0,0,0,0.00015,0,0.00015,360
"203",8,3,"use of self-clean feature of electric oven","count",1,11,0,0,0,0,0,0,0,0,0,0,0,11
"204",8,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",8,4,"TV/computer use","count",60,28,0,0,0,0,0,0,0,0,0,0,0,1680
"206",8,5,"air travel - large plane","miles",2895,46,0,0,0,0,0,0,0,0,0,0,0,133170
"207",8,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",8,5,"car trips- self only","miles",359,61,0,0,0,0,0.000551,0,0,0,0,0,0.000551,21899
"209",8,5,"car trips - driver and self","miles",38,39,0,0,0,0,0.000554,0,0,0,0,0,0.000554,1482
"210",8,5,"car trips - 2+ people with multiple end points","miles",10,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"211",8,5,"trips using public ground transportation","bags",14,44,0,0,0,0,0,0,0,0,0,0,0,616
"212",8,6,"bags of garbage disposed","bags",20,49,0,0,0,0,0,0,0,0,0,0,0,980
"213",8,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",8,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",8,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",8,6,"large items disposed","items",2,17,0,0,0,0,0,0,0,0,0,0,0,34
"217",9,1,"Household heating => 70F","hours",4,61,0,0,0,0,0,0.000436,0,0,0,0,0.000436,244
"218",9,1,"Household heating < 70F","hours",6,89,0,0,0,0,0,0.000872,0,0.000923,0,0,0.001795,534
"219",9,1,"Use of heat pump","hours",0,55,0,0,0,0,0,0,0,0,0,0,0,0
"220",9,1,"Use of air conditioner","hours",20,50,0,0,0,0,0,0,0,0,0,0,0,1000
"221",9,2,"shower - short","count",2,95,0,0,0,0,0,0,0,0,0,0,0,190
"222",9,2,"shower - long (> 3 min)","count",35,87,0,0,0,0,0,0,0,0,0,0,0,3045
"223",9,2,"bath","count",0,17,0,0,0,0,0,0,0,0,0,0,0,0
"224",9,2,"wash-up","count",52,32,0,0,0,0,0,0,0,0,0,0,0,1664
"225",9,3,"use of dishwasher","count",0,22,0,0,0,0,0,0,0,0,0,0,0,0
"226",9,3,"use of clothes washer","count",7,34,0,0,0,0,0,0,0,0,0,0,0,238
"227",9,3,"use of clothes dryer","count",2,12,0,0,0,0,0,0,0,0,0,0,0,24
"228",9,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",9,3,"use of  oven","count",8,39,0,0,0,0,0,0,0,0,0,0,0,312
"230",9,3,"use of self-clean feature of electric oven","count",4,19,0,0,0,0,0,0,0,0,0,0,0,76
"231",9,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",9,4,"TV/computer use","count",64,27,0,0,0,0,0,0,0,0,0,0,0,1728
"233",9,5,"air travel - large plane","miles",3406,44,0,0,0,0,0,0,0,0,0,0,0,149864
"234",9,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",9,5,"car trips- self only","miles",311,44,0,0,0,0,0.000551,0,0,0,0,0,0.000551,13684
"236",9,5,"car trips - driver and self","miles",24,27,0,0,0,0,0.000554,0,0,0,0,0,0.000554,648
"237",9,5,"car trips - 2+ people with multiple end points","miles",20,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"238",9,5,"trips using public ground transportation","bags",19,56,0,0,0,0,0,0,0,0,0,0,0,1064
"239",9,6,"bags of garbage disposed","bags",23,43,0,0,0,0,0,0,0,0,0,0,0,989
"240",9,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",9,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",9,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",9,6,"large items disposed","items",1,20,0,0,0,0,0,0,0,0,0,0,0,20
"244",10,1,"Household heating => 70F","count",6,67,0,0,0,0,0,0.000436,0,0,0,0,0.000436,402
"245",10,1,"Household heating < 70F","count",10,93,0,0,0,0,0,0.000872,0,0,0,0,0.000872,930
"246",10,1,"Use of heat pump","count",0,42,0,0,0,0,0,0,0,0,0,0,0,0
"247",10,1,"Use of air conditioner","count",31,44,0,0,0,0,0,0,0,0,0,0,0,1364
"248",10,2,"shower - short","count",4,91,0,0.000102,0,0,0,0,0,0,0,0,0.000102,364
"249",10,2,"shower - long (> 3 min)","count",19,90,0,0,0,0.000312,0,0,0,0,0,0,0.000312,1710
"250",10,2,"bath","count",0,21,8.8e-05,0,0,0,0,0,0,0,0,0,8.8e-05,0
"251",10,2,"wash-up","count",48,31,0,0,0,0,0,0,0,0,0,0,0,1488
"252",10,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0
"253",10,3,"use of clothes washer","count",4,33,0,0,0,0,0,0,0,0,0,0,0,132
"254",10,3,"use of clothes dryer","count",4,13,0,0,0,0,0,0,0,0,0.000122,0,0.000122,52
"255",10,3,"use of cooking range","count",0,0,0,0,0,0,0,0,0,0,0.000135,0,0.000135,0
"256",10,3,"use of  oven","count",8,36,0,0,0,0,0,0,0,0,0.00015,0,0.00015,288
"257",10,3,"use of self-clean feature of electric oven","count",1,16,0,0,0,0,0,0,0,0,0,0,0,16
"258",10,3,"Small kitchen appliance in the home","count",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",10,4,"TV/computer use","count",58,26,0,0,0,0,0,0,0,0,0,0,0,1508
"260",10,5,"air travel - large plane","miles",2949,48,0,0,0,0,0,0,0,0,0,0.000179,0.000179,141552
"261",10,5,"air travel - small  plane (<50 seats)","miles",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",10,5,"car trips- self only","miles",354,51,0,0,0,0,0.000551,0,0,0,0,0,0.000551,18054
"263",10,5,"car trips - driver and self","miles",20,22,0,0,0,0,0.000554,0,0,0,0,0,0.000554,440
"264",10,5,"car trips - 2+ people with multiple end points","miles",0,0,0,0,0,0,0.000354,0,0,0,0,0,0.000354,0
"265",10,5,"trips using public ground transportation","bags",14,53,0,0,0,0,0,0,0,0,0,0,0,742
"266",10,6,"bags of garbage disposed","bags",28,49,0,0,0,0,0,0,0,0,0,0,0,1372
"267",10,6,"bags of recycling deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",10,6,"bags of compost deposited (negative CF)","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",10,6,"hazardous or electric items disposed","bags",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",10,6,"large items disposed","items",0,16,0,0,0,0,0,0,0,0,0,0,0,0
"271",11,1,"Household heating => 70F","hours",8,78,0,0,0,0,0,0.000436,0,0,0,0,0.000436,624
"272",11,1,"Household heating < 70F","hours",6,85,0,0,0,0,0,0.000872,0,0,0,0,0.000872,510
"273",11,1,"Use of heat pump","hours",0,55,0,0,0,0,0,0,0,0,0,0,0,0
