Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
13,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
13,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
13,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
13,6,large items disposed,items,2,20,,,,,,,,,,
14,1,Household heating => 70F,count,5,86,,1,,,,1,,,,
14,1,Household heating < 70F,count,5,61,1,,,,,1,,,,
14,1,Use of heat pump,count,,47,,,,,,,,,,
14,1,Use of air conditioner,count,22,39,,,,1,,,,,,
14,2,shower - short,count,4,97,1,,,,,,,,,
14,2,shower - long (> 3 min),count,29,91,,,,,,,,,,
14,2,bath,count,,21,,,,,,,,,,
14,2,wash-up,count,34,38,,,,,,,,,,
14,3,use of dishwasher,count,,24,,,,1,,,,,,
14,3,use of clothes washer,count,4,38,,,,,,,,,,
14,3,use of clothes dryer,count,1,11,,,,,,,,,1,
14,3,use of cooking range,count,,,,,,,,,,,1,
14,3,use of  oven,count,12,32,,,,,,,,,1,
14,3,use of self-clean feature of electric oven,count,1,19,,,,,,,,,,
14,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
14,4,TV/computer use,count,61,30,,,,,,,,,,
14,5,air travel - large plane,miles,2447,49,,,,,,,,,,1
14,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
14,5,car trips- self only,miles,449,60,,,,,1,,,,,
14,5,car trips - driver and self,miles,39,27,,,,,1,,,,,
14,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
14,5,trips using public ground transportation,bags,16,61,,,,,,,,,,
14,6,bags of garbage disposed,bags,23,48,,,,,,,,,,
14,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
14,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
14,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
14,6,large items disposed,items,1,15,,,,,,,,,,
15,1,Household heating => 70F,hours,8,87,,,,,,1,,,,
15,1,Household heating < 70F,hours,4,73,,,,,,1,,,,
15,1,Use of heat pump,hours,,50,,,,,,,,,,
15,1,Use of air conditioner,hours,31,52,,,,,,,,,,
15,2,shower - short,count,4,84,,1,,,,,,,,
15,2,shower - long (> 3 min),count,28,72,,,,,,,1,,,
15,2,bath,count,,12,,,,,,,,,,
15,2,wash-up,count,53,25,,,,1,,,,,,
15,3,use of dishwasher,count,,20,,,,,,,,,,
15,3,use of clothes washer,count,2,46,,,,,,,,,,
15,3,use of clothes dryer,count,4,19,,,,,,,,,,
15,3,use of cooking range,count,,,,,,,,,,,,
15,3,use of  oven,count,9,31,,,,,,,,,,
15,3,use of self-clean feature of electric oven,count,2,18,,,,,,,,,,
15,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
15,4,TV/computer use,count,63,30,,,,,,,,,,
15,5,air travel - large plane,miles,3180,47,,,,,,,,,,
15,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
15,5,car trips- self only,miles,282,59,,,,,1,,,,,
15,5,car trips - driver and self,miles,11,20,,,,,1,,,,,
15,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
15,5,trips using public ground transportation,bags,15,44,,,,,,,,,,
15,6,bags of garbage disposed,bags,26,49,,,,,,,,,,
15,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
15,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
15,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
15,6,large items disposed,items,,15,,,,,,,,,,
16,1,Household heating => 70F,count,5,62,,,,,,1,,,,
16,1,Household heating < 70F,count,5,69,,,,,,1,,,,
16,1,Use of heat pump,count,,49,,,,,,,,,,
16,1,Use of air conditioner,count,28,41,,,,,,,,,,
16,2,shower - short,count,7,93,,,1,,,,,,,
16,2,shower - long (> 3 min),count,28,87,,1,,,,,,,,
16,2,bath,count,,16,,,,,,,,,,
16,2,wash-up,count,43,34,,,,,,,,,,
16,3,use of dishwasher,count,,20,,,,,,,,,,
16,3,use of clothes washer,count,4,29,,,,,,,,,,
16,3,use of clothes dryer,count,3,16,,,,,,,,,1,
16,3,use of cooking range,count,,,,,,,,,,,1,
16,3,use of  oven,count,11,33,,,,,,,,,1,
16,3,use of self-clean feature of electric oven,count,3,12,,,,,,,,,,
16,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
16,4,TV/computer use,count,60,30,,,,,,,,,,
16,5,air travel - large plane,miles,2003,51,,,,,,,,,,
16,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
16,5,car trips- self only,miles,461,49,,,,,1,,,,,
16,5,car trips - driver and self,miles,13,40,,,,,1,,,,,
16,5,car trips - 2+ people with multiple end points,miles,18,,,,,,1,,,,,
16,5,trips using public ground transportation,bags,15,42,,,,,,,,,,
16,6,bags of garbage disposed,bags,21,51,,,,,,,,,,
16,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
16,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
16,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
16,6,large items disposed,items,2,15,,,,,,,,,,
17,1,Household heating => 70F,hours,10,76,1,,,,,1,,,,
17,1,Household heating < 70F,hours,5,76,,,,,,1,,,,
17,1,Use of heat pump,hours,,42,,,,,,,,,,
17,1,Use of air conditioner,hours,28,38,,,,,,,,,,
17,2,shower - short,count,8,89,,,1,1,,,,,,
17,2,shower - long (> 3 min),count,16,87,,,,,,,,,,
17,2,bath,count,,18,,,,,,,,,,
17,2,wash-up,count,49,43,,,,,,,,,,
17,3,use of dishwasher,count,,20,,,,,,,,,,
17,3,use of clothes washer,count,6,31,,,,1,,,,,,
17,3,use of clothes dryer,count,4,15,,,,,,,,,,
17,3,use of cooking range,count,,,,,,,,,,,,
17,3,use of  oven,count,11,41,,,,,,,,1,,
17,3,use of self-clean feature of electric oven,count,2,19,,,,,,,,,,
17,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
17,4,TV/computer use,count,62,27,,,,,,,,,,
17,5,air travel - large plane,miles,3972,48,,,,,,,,,,
17,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
17,5,car trips- self only,miles,419,60,,,,,1,,,,,
17,5,car trips - driver and self,miles,20,28,,,,,1,,,,,
17,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
17,5,trips using public ground transportation,bags,12,52,,,,,,,,,,
17,6,bags of garbage disposed,bags,22,43,,,,,,,,,,
17,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
17,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
17,6,hazardous or electric items disposed,bags,3,,,,,,,,,,,
17,6,large items disposed,items,2,14,,,,,,,,,,
18,1,Household heating => 70F,count,10,71,,,,,,1,,,,
18,1,Household heating < 70F,count,9,76,,,,1,,1,,,,
18,1,Use of heat pump,count,,54,,,,,1,,,,,
18,1,Use of air conditioner,count,29,53,,,1,,,,,,,
18,2,shower - short,count,8,89,,,,,,,,,,
18,2,shower - long (> 3 min),count,24,82,,,,,,,,,,
18,2,bath,count,7,18,,,,,,,,,,
18,2,wash-up,count,38,28,,,,,,,,,,
18,3,use of dishwasher,count,,19,,,,,,,,,,
18,3,use of clothes washer,count,7,43,,,,,,,,,,
18,3,use of clothes dryer,count,2,12,,,,,,,,,1,
18,3,use of cooking range,count,,,,,,,,,,,1,
18,3,use of  oven,count,12,40,,,,,,,,,1,
18,3,use of self-clean feature of electric oven,count,4,15,,,,,,,,,,
18,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
18,4,TV/computer use,count,61,28,,,,,,,,,,
18,5,air travel - large plane,miles,2382,50,,,,,,,,,,
