"","Indnum","Activity","solar_powered_water_heater","gas_water_heater","electric_water_heater_peak_hour","electric_water_heater_off_peak","gas","natural_gas","hybrid","electric_peak_hours","electric_off_peak_hours","jetfuel"
"30",2,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"31",2,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"32",2,"shower - short",0,0,0,0,0,0,0,0,0,0
"33",2,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"34",2,"bath",0,0,0,0,0,0,0,0,0,0
"35",2,"wash-up",1,0,0,0,0,0,0,0,0,0
"36",2,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"37",2,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"38",2,"use of clothes dryer",0,0,0,1,0,0,0,0,1,0
"39",2,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"40",2,"use of  oven",0,0,0,0,0,0,0,0,1,0
"41",2,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"42",2,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"43",2,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"44",2,"air travel - large plane",0,0,0,0,0,0,0,0,0,1
"45",2,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"46",2,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"47",2,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"48",2,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"49",2,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"50",2,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"51",2,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"52",2,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"53",2,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"54",2,"large items disposed",0,0,0,0,0,0,0,0,0,0
"55",3,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"56",3,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"57",3,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"58",3,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"59",3,"shower - short",0,0,0,0,0,0,0,0,0,0
"60",3,"shower - long (> 3 min)",1,0,0,0,0,0,0,0,0,0
"61",3,"bath",0,0,0,0,0,0,0,0,0,0
"62",3,"wash-up",1,1,0,0,0,0,0,0,0,0
"63",3,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"64",3,"use of clothes washer",0,0,0,0,1,0,0,0,0,0
"65",3,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"66",3,"use of cooking range",0,0,1,0,0,0,0,0,0,0
"67",3,"use of  oven",0,1,0,1,0,0,0,0,0,0
"68",3,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"69",3,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"70",3,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"71",3,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"72",3,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,1
"73",3,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"74",3,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"75",3,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"76",3,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"77",3,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"78",3,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"79",3,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"80",3,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"81",3,"large items disposed",0,0,0,0,0,0,0,0,0,0
"82",4,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"83",4,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"84",4,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"85",4,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"86",4,"shower - short",0,0,0,0,0,0,0,0,0,0
"87",4,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"88",4,"bath",0,0,0,0,0,0,0,0,0,0
"89",4,"wash-up",0,1,0,0,0,0,0,0,0,0
"90",4,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"91",4,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"92",4,"use of clothes dryer",0,0,0,0,0,0,0,0,1,0
"93",4,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"94",4,"use of  oven",0,0,0,1,0,0,0,0,1,0
"95",4,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"96",4,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"97",4,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"98",4,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"99",4,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"100",4,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"101",4,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"102",4,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"103",4,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"104",4,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"105",4,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"106",4,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"107",4,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"108",4,"large items disposed",0,0,0,0,0,0,0,0,0,0
"109",5,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"110",5,"Household heating < 70F",0,1,0,0,0,1,0,0,0,0
"111",5,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"112",5,"Use of air conditioner",0,0,1,0,0,0,0,0,0,0
"113",5,"shower - short",0,0,0,0,0,0,0,0,0,0
"114",5,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"115",5,"bath",0,0,0,0,0,0,0,0,0,0
"116",5,"wash-up",0,0,0,0,0,0,0,0,0,0
"117",5,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"118",5,"use of clothes washer",1,0,0,0,0,0,0,1,0,0
"119",5,"use of clothes dryer",1,0,0,0,0,0,0,0,0,0
"120",5,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"121",5,"use of  oven",0,0,0,0,0,0,0,0,0,0
"122",5,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"123",5,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"124",5,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"125",5,"air travel - large plane",0,0,0,0,0,0,0,0,0,1
"126",5,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,1
"127",5,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"128",5,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"129",5,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"130",5,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"131",5,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"132",5,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"133",5,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"134",5,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"135",5,"large items disposed",0,0,0,0,0,0,0,0,0,0
"136",6,"Household heating => 70F",0,0,0,1,0,1,0,0,0,0
"137",6,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"138",6,"Use of heat pump",1,0,0,0,0,0,0,0,0,0
"139",6,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"140",6,"shower - short",0,0,0,0,0,0,0,1,0,0
"141",6,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"142",6,"bath",0,0,0,0,0,0,0,0,0,0
"143",6,"wash-up",0,0,0,0,0,0,0,0,0,0
"144",6,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"145",6,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"146",6,"use of clothes dryer",0,0,0,0,0,0,0,1,1,0
"147",6,"use of cooking range",1,0,0,0,0,0,0,0,1,0
"148",6,"use of  oven",1,0,0,0,0,0,0,0,1,0
"149",6,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"150",6,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"151",6,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"152",6,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"153",6,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"154",6,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"155",6,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"156",6,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"157",6,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"158",6,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"159",6,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"160",6,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"161",6,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"162",6,"large items disposed",0,0,0,0,0,0,0,0,0,0
"163",7,"Household heating => 70F",1,0,0,0,0,1,0,0,0,0
"164",7,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"165",7,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"166",7,"Use of air conditioner",0,1,0,0,0,0,0,0,0,0
"167",7,"shower - short",0,0,0,0,0,0,0,0,0,0
"168",7,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"169",7,"bath",0,0,0,0,0,0,0,0,0,0
"170",7,"wash-up",1,1,0,0,0,0,0,0,0,0
"171",7,"use of dishwasher",0,0,0,1,0,0,0,0,0,0
"172",7,"use of clothes washer",0,1,0,0,0,0,0,0,0,0
"173",7,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"174",7,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"175",7,"use of  oven",0,0,0,0,0,0,0,0,0,0
"176",7,"use of self-clean feature of electric oven",1,0,0,0,0,0,0,0,0,0
"177",7,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"178",7,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"179",7,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"180",7,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,1
"181",7,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"182",7,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"183",7,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"184",7,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"185",7,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"186",7,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"187",7,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"188",7,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"189",7,"large items disposed",0,0,0,0,0,0,0,0,0,0
"190",8,"Household heating => 70F",0,0,1,0,0,1,0,0,0,0
"191",8,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"192",8,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"193",8,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"194",8,"shower - short",0,0,0,0,0,0,0,0,0,0
"195",8,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"196",8,"bath",0,0,0,0,0,0,0,0,0,0
"197",8,"wash-up",0,0,0,0,0,0,0,0,0,0
"198",8,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"199",8,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"200",8,"use of clothes dryer",0,0,0,0,0,0,0,0,1,0
"201",8,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"202",8,"use of  oven",0,0,0,0,0,0,1,0,1,0
"203",8,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"204",8,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"205",8,"TV/computer use",0,0,0,1,0,0,0,0,0,0
"206",8,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"207",8,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"208",8,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"209",8,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"210",8,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"211",8,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"212",8,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"213",8,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"214",8,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"215",8,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"216",8,"large items disposed",0,0,0,0,0,0,0,0,0,0
"217",9,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"218",9,"Household heating < 70F",1,0,0,1,0,1,0,1,0,0
"219",9,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"220",9,"Use of air conditioner",0,0,0,1,0,0,0,0,0,0
"221",9,"shower - short",0,0,0,0,0,0,0,0,0,0
"222",9,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"223",9,"bath",0,0,0,0,0,0,0,0,0,0
"224",9,"wash-up",0,0,0,0,0,0,0,0,0,0
"225",9,"use of dishwasher",0,0,0,0,0,0,1,0,0,0
"226",9,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"227",9,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"228",9,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"229",9,"use of  oven",0,0,0,0,0,0,0,0,0,0
"230",9,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"231",9,"Small kitchen appliance in the home",0,0,0,1,0,0,0,0,0,0
"232",9,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"233",9,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"234",9,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"235",9,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"236",9,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"237",9,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"238",9,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"239",9,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"240",9,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"241",9,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"242",9,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"243",9,"large items disposed",0,0,0,0,0,0,0,0,0,0
"244",10,"Household heating => 70F",0,0,1,0,0,1,0,0,0,0
"245",10,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"246",10,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"247",10,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"248",10,"shower - short",0,1,0,0,0,0,0,0,0,0
"249",10,"shower - long (> 3 min)",0,0,0,1,0,0,0,0,0,0
"250",10,"bath",1,0,0,0,0,0,1,0,0,0
"251",10,"wash-up",0,0,0,0,0,0,0,0,0,0
"252",10,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"253",10,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"254",10,"use of clothes dryer",0,1,0,0,0,0,0,0,1,0
"255",10,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"256",10,"use of  oven",0,0,0,0,0,0,0,0,1,0
"257",10,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"258",10,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"259",10,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"260",10,"air travel - large plane",0,0,0,0,0,0,0,0,0,1
"261",10,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"262",10,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"263",10,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"264",10,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"265",10,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"266",10,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"267",10,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"268",10,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"269",10,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"270",10,"large items disposed",0,0,0,0,0,0,0,0,0,0
"271",11,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"272",11,"Household heating < 70F",1,0,0,1,0,1,0,0,0,0
"273",11,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"274",11,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"275",11,"shower - short",0,0,0,0,0,0,0,0,0,0
"276",11,"shower - long (> 3 min)",0,0,0,1,0,0,0,0,0,0
"277",11,"bath",0,0,0,0,0,0,0,0,0,0
"278",11,"wash-up",0,0,0,0,0,0,0,0,0,0
"279",11,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"280",11,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"281",11,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"282",11,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"283",11,"use of  oven",0,0,0,0,0,0,0,0,0,0
"284",11,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"285",11,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"286",11,"TV/computer use",0,0,0,0,0,0,0,1,0,0
"287",11,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"288",11,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"289",11,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"290",11,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"291",11,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"292",11,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"293",11,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"294",11,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"295",11,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"296",11,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"297",11,"large items disposed",0,0,0,0,0,0,0,0,0,0
"298",12,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"299",12,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"300",12,"Use of heat pump",0,1,0,0,0,0,0,0,0,0
"301",12,"Use of air conditioner",0,1,0,0,0,0,0,0,0,0
"302",12,"shower - short",0,0,1,0,0,0,0,0,0,0
"303",12,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"304",12,"bath",0,0,0,1,0,0,0,0,0,0
"305",12,"wash-up",0,0,0,0,0,0,0,0,0,0
"306",12,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"307",12,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"308",12,"use of clothes dryer",1,0,1,0,0,0,0,0,1,0
"309",12,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"310",12,"use of  oven",0,0,0,0,0,0,0,0,1,0
"311",12,"use of self-clean feature of electric oven",1,1,0,0,0,0,0,0,0,0
"312",12,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"313",12,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"314",12,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"315",12,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"316",12,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"317",12,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"318",12,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"319",12,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"320",12,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"321",12,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"322",12,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"323",12,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"324",12,"large items disposed",0,0,0,0,0,0,0,0,0,0
"325",13,"Household heating => 70F",0,0,0,0,0,1,1,0,0,0
"326",13,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"327",13,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"328",13,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"329",13,"shower - short",0,0,0,0,0,0,0,0,0,0
"330",13,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"331",13,"bath",0,0,0,0,0,0,0,0,0,0
"332",13,"wash-up",0,0,0,0,0,0,0,0,0,0
"333",13,"use of dishwasher",0,0,0,0,0,0,1,0,0,0
"334",13,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"335",13,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
"336",13,"use of cooking range",0,0,0,0,0,0,0,0,0,0
"337",13,"use of  oven",0,0,0,0,0,0,0,0,0,0
"338",13,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"339",13,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"340",13,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"341",13,"air travel - large plane",0,0,0,0,0,0,0,0,0,0
"342",13,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"343",13,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"344",13,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"345",13,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"346",13,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"347",13,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"348",13,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"349",13,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"350",13,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"351",13,"large items disposed",0,0,0,0,0,0,0,0,0,0
"352",14,"Household heating => 70F",0,1,0,0,0,1,0,0,0,0
"353",14,"Household heating < 70F",1,0,0,0,0,1,0,0,0,0
"354",14,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"355",14,"Use of air conditioner",0,0,0,1,0,0,0,0,0,0
"356",14,"shower - short",1,0,0,0,0,0,0,0,0,0
"357",14,"shower - long (> 3 min)",0,0,0,0,0,0,0,0,0,0
"358",14,"bath",0,0,0,0,0,0,0,0,0,0
"359",14,"wash-up",0,0,0,0,0,0,0,0,0,0
"360",14,"use of dishwasher",0,0,0,1,0,0,0,0,0,0
"361",14,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"362",14,"use of clothes dryer",0,0,0,0,0,0,0,0,1,0
"363",14,"use of cooking range",0,0,0,0,0,0,0,0,1,0
"364",14,"use of  oven",0,0,0,0,0,0,0,0,1,0
"365",14,"use of self-clean feature of electric oven",0,0,0,0,0,0,0,0,0,0
"366",14,"Small kitchen appliance in the home",0,0,0,0,0,0,0,0,0,0
"367",14,"TV/computer use",0,0,0,0,0,0,0,0,0,0
"368",14,"air travel - large plane",0,0,0,0,0,0,0,0,0,1
"369",14,"air travel - small  plane (<50 seats)",0,0,0,0,0,0,0,0,0,0
"370",14,"car trips- self only",0,0,0,0,1,0,0,0,0,0
"371",14,"car trips - driver and self",0,0,0,0,1,0,0,0,0,0
"372",14,"car trips - 2+ people with multiple end points",0,0,0,0,1,0,0,0,0,0
"373",14,"trips using public ground transportation",0,0,0,0,0,0,0,0,0,0
"374",14,"bags of garbage disposed",0,0,0,0,0,0,0,0,0,0
"375",14,"bags of recycling deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"376",14,"bags of compost deposited (negative CF)",0,0,0,0,0,0,0,0,0,0
"377",14,"hazardous or electric items disposed",0,0,0,0,0,0,0,0,0,0
"378",14,"large items disposed",0,0,0,0,0,0,0,0,0,0
"379",15,"Household heating => 70F",0,0,0,0,0,1,0,0,0,0
"380",15,"Household heating < 70F",0,0,0,0,0,1,0,0,0,0
"381",15,"Use of heat pump",0,0,0,0,0,0,0,0,0,0
"382",15,"Use of air conditioner",0,0,0,0,0,0,0,0,0,0
"383",15,"shower - short",0,1,0,0,0,0,0,0,0,0
"384",15,"shower - long (> 3 min)",0,0,0,0,0,0,1,0,0,0
"385",15,"bath",0,0,0,0,0,0,0,0,0,0
"386",15,"wash-up",0,0,0,1,0,0,0,0,0,0
"387",15,"use of dishwasher",0,0,0,0,0,0,0,0,0,0
"388",15,"use of clothes washer",0,0,0,0,0,0,0,0,0,0
"389",15,"use of clothes dryer",0,0,0,0,0,0,0,0,0,0
